0.2666666649889902, 3, greenish_blue, Entry
1.0333333268323373, 3, greenish_blue, Exit
1.9999999874174268, 1, yellow, Entry
2.1333333199119218, 1, yellow, Exit
2.1333333199119218, 3, yellow, Entry
5.4666666322743, 1, greenish_blue, Entry
6.166666627870399, 1, greenish_blue, Exit
6.166666627870399, 2, greenish_blue, Entry
7.166666621579113, 2, greenish_blue, Exit
7.166666621579113, 1, greenish_blue, Entry
7.23333328782636, 1, greenish_blue, Exit
10.66666659955961, 4, greenish_blue, Entry
12.033333257628184, 4, greenish_blue, Exit
12.066666590751808, 1, orange, Entry
12.199999923246303, 4, greenish_blue, Entry
14.433333242529097, 4, greenish_blue, Exit
15.466666569361433, 4, greenish_blue, Entry
15.999999899339414, 1, orange, Exit
16.033333232463036, 1, orange, Entry
17.933333220509592, 4, greenish_blue, Exit
17.99999988675684, 4, greenish_blue, Entry
18.199999885498585, 4, greenish_blue, Exit
19.999999874174268, 1, orange, Exit
20.03333320729789, 1, orange, Entry
20.233333206039635, 3, greenish_blue, Entry
20.39999987165775, 3, greenish_blue, Exit
20.39999987165775, 1, greenish_blue, Entry
20.433333204781377, 1, greenish_blue, Exit
20.433333204781377, 2, greenish_blue, Entry
20.466666537905, 2, greenish_blue, Exit
20.466666537905, 1, greenish_blue, Entry
22.13333319408619, 1, greenish_blue, Exit
23.29999985341302, 1, orange, Exit
23.36666651966027, 1, orange, Entry
23.433333185907518, 1, orange, Exit
23.533333185278387, 4, orange, Entry
23.99999984900912, 4, orange, Exit
24.09999984837999, 1, greenish_blue, Entry
24.23333318087449, 1, greenish_blue, Exit
24.23333318087449, 2, greenish_blue, Entry
24.26666651399811, 2, greenish_blue, Exit
24.26666651399811, 1, greenish_blue, Entry
24.366666513368983, 1, greenish_blue, Exit
24.399999846492605, 2, greenish_blue, Entry
25.966666503302925, 2, greenish_blue, Exit
25.966666503302925, 3, greenish_blue, Entry
26.499999833280903, 2, orange, Entry
26.766666498269895, 3, greenish_blue, Exit
26.766666498269895, 1, greenish_blue, Entry
27.999999823843975, 2, orange, Exit
28.033333156967597, 2, orange, Entry
28.233333155709342, 1, greenish_blue, Exit
28.233333155709342, 4, greenish_blue, Entry
28.466666487574706, 4, greenish_blue, Exit
28.466666487574706, 3, greenish_blue, Entry
28.599999820069204, 3, greenish_blue, Exit
28.599999820069204, 4, greenish_blue, Entry
29.766666479396036, 4, greenish_blue, Exit
29.766666479396036, 3, greenish_blue, Entry
30.033333144385026, 3, yellow, Exit
30.233333143126767, 3, greenish_blue, Exit
30.233333143126767, 1, greenish_blue, Entry
31.99999979867883, 2, orange, Exit
32.03333313180245, 2, orange, Entry
32.06666646492607, 2, orange, Exit
32.06666646492607, 1, greenish_blue, Exit
32.0999997980497, 2, orange, Entry
32.46666646240956, 1, greenish_blue, Entry
32.89999979301667, 1, greenish_blue, Exit
32.93333312614029, 1, greenish_blue, Entry
